appid,hw_ram_gb,hw_storage_gb,hw_has_gpu_req,parse_success
1310990,1.0,4.0,1,True
506610,1.0,1.0,1,True
421170,6.0,6.0,1,True
747200,2.0,1.465,0,True
421120,1.0,1.0,1,True
323580,4.0,8.0,1,True
939400,4.0,1.5,0,True
994730,4.0,2.0,0,True
1432050,1.0,2.0,1,True
491950,4.0,3.0,1,True
1147550,8.0,50.0,1,True
1520500,8.0,9.0,1,True
268750,0.5,0.439,0,True
1115690,2.0,0.721,1,True
280520,2.0,0.25,1,True
874260,8.0,26.0,1,True
303210,2.0,4.0,1,True
423580,2.0,0.488,1,True
1126290,4.0,0.391,1,True
41070,1.0,4.0,1,True
316790,4.0,5.859,1,True
201790,2.0,9.0,1,True
2756920,8.0,3.0,1,True
824270,4.0,7.0,1,True
25000,4.0,35.0,1,True
346940,2.0,10.0,1,True
857980,8.0,6.0,1,True
250520,2.0,6.0,1,True
504210,4.0,0.439,0,True
268130,8.0,0.391,1,True
674500,8.0,3.0,1,True
35720,1.0,4.5,1,True
1578650,4.0,2.0,1,True
1802870,1.0,2.0,0,True
354140,1.0,0.244,1,True
598330,4.0,1.0,1,True
1002300,2.0,1.0,1,True
385800,1.0,3.0,0,True
360940,4.0,14.0,1,True
727130,8.0,5.0,1,True
1127500,2.0,0.342,0,False
297130,4.0,0.391,0,True
335670,0.5,0.781,0,True
1274600,2.0,3.0,1,True
356570,1.0,1.0,1,True
280740,1.0,4.0,1,True
792300,8.0,40.0,1,True
234270,4.0,13.184,1,True
1732180,2.0,2.0,0,True
1225570,4.0,8.0,1,True
1931770,8.0,0.587,1,True
1515210,1.0,1.0,1,True
1606180,16.0,40.0,1,True
571740,4.0,15.0,1,True
1434950,4.0,2.0,1,True
895620,4.0,5.0,1,True
329130,2.0,0.146,0,True
1295920,4.0,4.0,1,True
897730,8.0,3.0,1,True
916840,8.0,40.0,1,True
699170,3.0,2.0,0,True
1216710,4.0,3.0,1,True
57300,2.0,3.0,1,True
2420660,8.0,15.0,1,True
334230,2.0,3.0,0,True
433170,8.0,10.0,1,True
607050,2.0,1.0,0,True
38700,1.0,0.195,1,True
1525700,3.0,3.0,1,True
364420,0.5,0.439,0,True
378610,8.0,5.0,1,True
619150,2.0,0.488,1,True
375480,4.0,1.465,1,True
761620,4.0,4.0,1,True
677120,2.0,0.488,0,True
332200,0.488,0.293,1,True
410340,8.0,25.0,1,True
1330470,8.0,25.0,1,True
1874490,8.0,7.0,1,True
861650,8.0,15.0,1,True
2103140,16.0,2.0,1,True
531510,8.0,1.0,1,True
1406990,2.0,6.0,1,True
237990,2.0,4.0,0,True
418180,2.0,0.488,0,True
300550,2.0,2.0,1,True
327890,2.0,2.441,1,True
599080,8.0,15.0,1,True
1288310,4.0,2.0,1,True
318020,2.0,15.0,1,True
1097580,6.0,10.0,1,True
535480,4.0,3.0,1,True
743450,4.0,1.0,0,True
776490,1.0,2.0,0,True
3146520,8.0,4.0,1,True
386880,2.0,2.0,1,True
1859910,8.0,5.0,1,True
233980,4.0,0.25,1,True
215470,3.0,4.0,1,True
445190,4.0,12.0,1,True
1042780,8.0,4.0,1,True
628670,4.0,6.0,1,True
252110,2.0,0.879,1,True
347620,1.0,8.0,0,True
1533420,6.0,6.0,1,True
398850,4.0,1.0,1,True
282800,1.0,2.0,0,True
48720,1.2,0.879,0,True
597220,2.0,4.0,0,True
896160,4.0,2.93,0,True
597170,2.0,1.0,1,True
343710,4.0,5.0,1,True
210770,2.0,4.0,1,True
1385380,2.0,1.0,0,True
248860,1.0,0.073,0,True
588040,4.0,3.0,1,True
591370,4.0,0.488,1,True
960690,2.0,1.0,0,True
964800,2.0,4.0,1,True
981430,2.0,1.0,0,True
558990,4.0,0.586,0,True
1286580,6.0,2.0,1,True
430960,0.125,1.0,1,True
1296610,2.0,0.293,0,True
1332720,8.0,12.0,1,True
1562700,4.0,1.0,1,True
278360,2.0,2.0,1,True
1203630,2.0,0.049,0,True
1120810,4.0,8.0,1,True
1012790,16.0,15.0,1,True
584980,2.0,7.0,0,True
1658040,4.0,4.0,1,True
1153640,8.0,36.0,1,True
582270,8.0,2.0,1,True
1619750,8.0,1.0,1,True
1143810,4.0,2.0,0,True
910490,6.0,6.0,1,True
407330,1.0,1.0,0,True
1750770,6.0,3.0,1,True
758190,0.5,1.0,1,True
499520,4.0,10.0,1,True
982290,8.0,2.0,1,True
1937500,8.0,1.0,1,True
382560,4.0,10.0,0,True
1040420,3.0,6.0,1,True
40700,1.0,1.0,0,True
223830,1.0,3.0,0,True
319050,2.0,2.0,0,True
789760,2.0,6.0,1,False
764790,2.0,1.172,1,True
467960,2.0,1.0,0,True
