appid,release_coming_soon,price_initial,price_final,price_discount_pct,platform_windows,platform_mac,platform_linux,screenshots_count,movies_count,cat_n,gen_n,lang_n,pc_min_len,pc_rec_len,num_ok,w_mean,h_mean,bright_mean,cont_mean,sharp_mean,edge_mean,hue_mean,sat_mean,col_mean,ent_mean
2487150,False,1999,1999,0,True,False,False,20,2,5,3,13,574,555,4,1920.0,1080.0,70.55843291859568,55.5493183364102,871.9210517393574,0.0619809751157407,23.63110098379629,132.98532347125771,43.38620090484619,7.337221145629883
1429880,False,2499,2499,0,True,True,False,14,3,16,6,7,467,478,4,1920.0,1080.0,130.1255858169367,59.15877408979054,1314.385953286291,0.0953680796682098,50.10123565297068,84.66305145640432,49.52031230926514,7.392950415611267
3404470,False,599,599,0,True,True,False,6,3,4,3,13,377,0,4,1920.0,1080.0,151.844686173804,55.04852920203501,750.5483978302581,0.0606415171682098,63.27405008198303,85.15427722318674,59.57470512390137,6.536278963088989
3069120,False,1299,1299,0,True,True,False,5,1,3,1,2,444,113,4,1920.0,1079.25,172.4508347118218,56.17238214381659,505.7818025513235,0.048852495653018,42.33611719447234,56.56947493332035,39.53892803192139,7.235748529434204
3558400,False,999,799,20,True,False,False,8,5,12,4,30,534,537,4,1920.0,1080.0,70.3566808931327,48.28898490594902,94.0987557488581,0.0124030671296296,107.80055881076387,145.52038061824845,50.892045974731445,6.613235950469971
2212670,False,999,999,0,True,False,False,12,1,11,3,2,436,440,4,1920.0,1080.0,125.77512261284724,32.92891895580691,250.32652049148916,0.027505787037037,67.83097149884259,78.53804675443673,35.54756307601929,6.873249292373657
3151380,False,1299,974,25,True,False,False,14,1,2,3,9,461,468,4,1920.0,1080.0,131.91516408661266,48.665928469857896,1014.8903017895434,0.0581351273148148,27.8031330777392,122.2101112798997,55.46418952941895,7.353502988815308
2240080,False,599,599,0,True,True,False,7,1,4,5,23,384,395,4,1920.0,1080.0,127.33048948688273,45.05341152591587,274.73370300534674,0.0548036024305555,85.28198278356481,98.28403850790896,48.35839748382568,6.763998746871948
2286780,False,1999,1999,0,True,False,False,10,2,6,4,5,321,0,4,1920.0,1080.0,168.53085865162035,58.07632810933914,1536.3569536341242,0.0783984375,67.18373312114198,58.97888225790895,40.497840881347656,7.268274784088135
2843190,False,1499,1499,0,True,True,False,19,3,5,2,14,420,427,4,1920.0,1080.0,154.8547100453318,40.9689675133232,66.3791811939154,0.0248219280478395,54.125123818479935,51.18225911458333,32.73340559005737,7.073916435241699
1602000,False,1999,1999,0,True,False,False,11,4,11,4,9,579,578,4,1920.0,1080.0,118.2031866078318,58.19452542555754,835.2903168978111,0.0776120032793209,69.26077630690585,106.53919680748456,59.02174472808838,7.452932715415955
2957700,False,1699,1699,0,True,False,False,18,2,5,4,4,456,436,4,1874.0,1053.5,178.59761051128788,49.403174618542224,282.3593447520262,0.0393804014088888,60.31069153101591,71.28350990459509,68.06631278991699,6.164892911911011
2678830,False,1199,1199,0,True,False,False,7,6,5,4,2,386,0,4,1920.0,1080.0,100.57423454378858,41.56764543022633,886.9148318329266,0.067451774691358,37.01785288869599,75.18957947530863,31.975996494293213,6.260902047157288
3180150,False,1399,1399,0,True,False,False,12,1,10,4,20,396,443,4,1920.0,1080.0,125.23621829185956,70.02628208619095,1602.023871281127,0.0832570167824074,72.38545609085648,71.06249638310184,49.46180820465088,7.746051549911499
1778840,False,2999,1799,40,True,False,False,13,5,6,3,9,598,617,4,1920.0,1071.25,77.79617361364927,51.39936972728435,526.6003476431555,0.0564536480946157,59.17620602209504,96.18182982511516,37.14316511154175,7.1440218687057495
2368930,False,999,649,35,True,True,False,8,3,13,4,15,435,440,4,1920.0,1080.0,114.66014455536263,28.16882875085923,162.85525714217806,0.0408739631558641,110.53866777584877,124.4297130594136,60.90898323059082,6.7211737632751465
1957760,False,699,489,30,True,False,False,16,1,3,3,9,300,96,4,1920.0,1080.0,159.83701027199075,43.73969297261243,389.2114166713368,0.0517375578703703,51.04499529803241,70.48390745563272,41.83931541442871,7.28569483757019
2744010,False,1199,599,50,True,False,False,14,1,3,3,13,348,0,4,1920.0,1080.0,135.66770314911264,50.611488010851545,338.39874840896005,0.0378560233410493,42.42813380111882,86.88811065297068,45.8669023513794,6.951117992401123
2714620,False,999,999,0,True,True,True,9,2,16,3,4,434,113,4,1920.0,1077.0,117.9933038539296,62.41590487953628,360.3210399944273,0.0364447245014742,87.63515831506699,93.11558467192242,47.80971908569336,6.583234071731567
4015530,False,299,299,0,True,False,False,8,1,6,3,15,587,591,4,1920.0,1080.0,105.4554306520062,53.24506740013277,181.3074326805387,0.0260686728395061,43.728257137345686,130.9304412615741,52.18336486816406,4.896063327789307
2665460,False,1999,1999,0,True,True,True,22,1,12,4,1,414,437,4,1920.0,1080.0,63.48904019579476,33.81914293921972,668.4032613135178,0.0480844907407407,49.03316333912037,94.41746551890432,30.594347953796387,6.592441558837891
1940200,False,1499,1499,0,True,False,False,10,3,5,2,5,442,442,4,1842.0,1034.75,121.5662266678514,56.184710239069815,338.3219913009766,0.0349698965842752,80.67906742936506,138.57557104823718,70.22122287750244,7.290347099304199
2194730,False,1299,870,33,True,False,False,12,12,7,3,26,468,472,4,1920.0,1078.5,104.86717406575887,54.65708391232834,399.31416520098975,0.0539768382842859,50.44230843067054,67.50290094709669,38.29986095428467,7.065311908721924
1779030,False,1799,1799,0,True,True,True,6,1,3,3,1,370,113,4,1920.0,1080.0,135.94862099729937,54.74147345074886,1430.3814967948558,0.0809500385802469,44.631539351851856,54.15612714602624,42.70355987548828,6.402670502662659
3496000,False,999,999,0,True,True,True,18,1,14,4,14,449,113,4,1920.0,1079.25,151.65073353666625,45.52231431424008,737.3400913901238,0.0585431571147481,70.01558862352455,121.85297731826076,80.07620239257812,7.403125762939453
2712380,False,999,999,0,True,False,True,18,1,12,4,4,439,442,4,1920.0,1080.0,45.926498119212965,47.240799839712366,1140.9875452958638,0.0667083815586419,55.169246117862656,118.83336986400462,42.23604774475098,6.26013708114624
1917850,False,1999,1999,0,True,False,False,9,4,5,4,11,593,332,4,1920.0,1080.0,50.43065779320988,44.14014068559933,903.4267475506545,0.0536985194830246,68.61957826967593,145.03319914641202,36.65846395492554,6.775938391685486
1346840,False,1499,1499,0,True,True,False,17,1,5,1,9,381,113,4,1920.0,1080.0,50.54350043402778,36.42552797326204,89.36415850486279,0.0124873408564814,51.90456645447531,127.09892505787036,37.1247706413269,6.140499114990234
3769130,False,499,324,35,True,False,False,13,1,7,2,11,307,0,4,1920.0,1080.0,53.58649739583333,44.92773089594246,1398.2906701444992,0.0608293547453703,74.28240596064815,127.43681616512345,61.77171039581299,6.680299639701843
2226430,False,1599,1599,0,True,True,False,12,4,9,4,3,216,175,4,1920.0,1080.0,67.48347583912037,38.41770010407102,1120.110379940042,0.0878217833719135,50.60800455729167,133.07165822723766,45.07938575744629,6.669296503067017
2923390,False,1299,1299,0,True,False,False,11,1,6,3,17,457,504,4,1920.0,1080.0,144.82898919753086,47.82422682158392,715.4450497247793,0.0286349826388888,46.83120406539352,85.02788194444445,63.37528419494629,6.965951204299927
3266090,False,1399,1105,21,True,False,False,15,4,8,4,18,485,504,4,1920.0,1079.0,96.4941280747992,69.34121814107866,676.8010446417788,0.0281071400988569,45.937207725131294,83.9395858675085,54.888370513916016,5.931537389755249
3618390,False,699,489,30,True,False,True,7,2,11,4,11,248,321,4,1916.5,1080.0,84.51948023212718,59.826130353617486,2039.428080186541,0.0472567859284115,54.65521387532204,108.51220435823704,55.248854637146,4.958855986595154
3097300,False,799,799,0,True,False,False,10,2,14,3,1,376,379,4,1920.0,1080.0,56.15518518518519,54.21138551824995,243.0979941784477,0.0214870273919753,24.00256100501543,112.18348042052472,48.92528295516968,5.147102475166321
2342690,False,1299,1299,0,True,False,False,21,3,3,7,2,388,0,4,1759.25,990.0,140.06652423309495,42.317507458681085,803.6955446344078,0.0477177867485153,39.8926468587532,73.339463744379,40.938865184783936,5.41823673248291
3363270,False,799,799,0,True,False,False,11,6,4,2,11,339,113,4,1920.0,1080.0,112.5264237316744,58.5432042465028,1119.2600299011335,0.0472102864583333,77.5601749373071,159.85375880111883,82.46358108520508,6.796903729438782
3218530,False,1799,1079,40,True,True,False,7,3,5,5,4,440,113,4,1920.0,1080.0,81.78854564525463,53.23228793104442,1179.3696073910994,0.0579437934027777,27.067499638310185,122.02233446662808,40.78363513946533,7.252233505249023
2891020,False,999,999,0,True,False,False,6,2,5,3,13,442,449,4,1920.0,1080.0,166.53059244791666,50.10969214201877,187.0253858785456,0.0155823206018518,43.86485580632716,96.67267843364196,55.70222187042236,6.2531702518463135
3511030,False,499,499,0,True,False,False,9,1,7,2,16,427,0,4,1920.0,1080.0,182.72319866415896,66.77056454655389,1792.765282913599,0.0541019241898148,40.54566514756944,51.61464891975309,51.82172203063965,5.740394353866577
3609750,False,799,799,0,True,True,False,6,3,7,3,13,324,113,4,1920.0,1080.0,210.22323652102625,48.64825242572388,1098.1014200786285,0.0568702980324074,65.7718337673611,39.71903489101081,33.934492111206055,4.888237535953522
3177890,False,1299,1299,0,True,False,False,7,1,9,3,2,317,0,4,1920.0,1080.0,108.89789351851852,56.43522939320359,765.2822992331693,0.0674916811342592,35.00179639274691,76.72425588348766,48.7911548614502,7.006457448005676
3981100,False,599,599,0,True,False,False,6,1,12,3,13,338,0,4,1920.0,1080.0,114.52205680941358,33.22810314762287,704.1642076923767,0.0855120322145061,31.05119442033179,154.13135235821758,80.19888877868652,6.962936520576477
3064030,False,585,585,0,True,False,False,13,1,3,2,8,377,0,4,1919.0,1080.0,154.4150672852373,39.9850404419389,307.3038172539028,0.0418229980892826,72.42158000887808,130.14978564742438,71.6865463256836,5.714907050132752
3399960,False,599,599,0,True,False,False,6,1,4,3,10,421,432,4,1920.0,1080.0,160.6826724054784,42.89636245552165,963.066697548464,0.030913990162037,84.94664098668981,105.31169053819444,61.91923522949219,5.341692328453064
3606830,False,1299,1299,0,True,False,False,10,1,4,3,4,172,167,4,1920.0,1080.0,209.48516107253087,72.79170390144907,1488.0571311740073,0.0490254870756172,0.3560044126157408,0.0877923659336419,0.3025955781340599,4.740122437477112
2390230,False,1299,1299,0,True,True,False,10,1,6,4,12,277,291,4,1920.0,1080.0,175.0555841290509,56.27205879426384,744.3290261834787,0.062847583912037,24.34162688078704,82.8262050298997,53.3456916809082,6.398694634437561
2096030,False,1599,959,40,True,False,False,23,11,10,3,12,449,407,4,1920.0,1080.0,126.93839397665894,59.04078659037609,281.50914919737306,0.0485091145833333,87.79638442804784,59.71994140625,26.757489681243896,7.55263364315033
3370870,False,799,799,0,True,False,False,8,1,12,3,1,432,113,4,1920.0,1080.0,101.18436631944444,58.83001671583902,562.9352108928213,0.0314119164737654,86.29306761188272,198.19891963252317,109.03328895568848,7.193686604499817
3003460,False,799,799,0,True,True,False,17,1,17,3,4,455,343,4,1920.0,1080.0,80.10754075038581,51.43444838963364,479.5614500034394,0.0221475935570987,104.94815502025465,183.6690692515432,69.30616283416748,4.687775611877441
1793330,False,1999,1999,0,True,False,False,11,1,10,3,9,380,267,4,1920.0,1080.0,57.45230782214506,40.32879831282416,212.55054225865047,0.0271524160879629,90.9062572337963,136.43272894965276,60.37471008300781,6.706064462661743
3036010,False,999,999,0,True,False,False,10,2,6,4,13,483,0,4,1919.5,1079.5,89.63054566386607,56.98047872168139,989.7616800828646,0.0711714190476976,87.86624454586288,123.7165813332903,64.42843627929688,7.30763852596283
3422270,False,1999,1999,0,True,False,False,14,1,2,4,12,381,385,4,1920.0,1080.0,83.94284975405093,37.297433565698114,407.1353385248169,0.0200215808256172,35.41095257040895,139.70749083719136,51.16021728515625,6.417751669883728
2871440,False,1499,1499,0,True,True,False,11,4,13,2,5,456,467,4,1920.0,1080.0,158.69017674575616,48.19834536175085,546.5532871141123,0.0453692853009259,68.69874192226081,54.05727322048611,44.64340877532959,5.926252603530884
4067130,False,399,399,0,True,False,False,6,1,6,5,10,299,306,4,1920.0,1080.0,53.542461902006174,46.871677595650304,213.54978153158183,0.0072399450231481,104.3763811728395,179.50738208912037,33.68799018859863,6.914648652076721
3694480,False,699,699,0,True,True,True,8,1,10,2,19,266,98,4,1920.0,1080.0,160.67256124614198,42.534083588642495,829.3950871347815,0.0294502314814814,57.97304699556327,28.669905478395066,32.83701753616333,5.478596568107605
2760790,False,699,699,0,True,False,False,7,3,9,3,7,245,0,4,1920.0,1080.0,101.97344690393518,48.1018774936852,2160.1627393629087,0.0951639660493827,67.81598608699845,141.2848964361497,76.0277271270752,6.22111439704895
2915380,False,1799,1799,0,True,False,False,6,2,9,3,6,428,0,4,1920.0,1080.0,100.87835274402008,54.19844680818377,881.4330599082882,0.0920381221064814,31.162659384645064,120.61709092881944,46.77878761291504,7.183704614639282
2654540,False,599,599,0,True,False,False,12,1,4,6,3,373,0,4,1920.0,1040.0,94.0248394931891,45.22457303532471,463.9332178944706,0.0466423778044871,63.82638083433493,69.97683956830929,27.187071323394772,7.207624316215515
3613270,False,1799,1799,0,True,False,False,12,2,10,3,17,484,492,4,1920.0,1080.0,75.22670319733797,52.38704711589127,450.2685739587258,0.0473520688657407,62.37509078414352,77.82646785783179,51.49514102935791,7.1242676973342896
2718240,False,899,899,0,True,False,False,10,2,3,3,11,382,113,4,1920.0,1080.0,129.52587311921295,33.47997493405357,255.56582151773443,0.0426590229552469,77.55744237075618,111.10981288580246,60.33677673339844,4.930373430252075
3208560,False,599,599,0,True,False,False,7,1,10,4,11,295,0,4,1920.0,1079.25,38.36348594383112,36.8818908604808,1015.4448118092675,0.0683358492370489,111.9248661847862,166.7208418871453,36.72550058364868,5.317106306552887
3659410,False,799,799,0,True,False,False,7,3,9,4,10,316,320,4,1920.0,1080.0,127.1078923128858,46.81150916208325,1667.647418883732,0.0983690200617284,71.9400301408179,186.0307982494213,126.7600212097168,7.053596258163452
3204020,False,1999,1999,0,True,False,False,7,2,5,2,2,366,113,4,1920.0,1080.0,90.7323445939429,67.23232709958602,699.0856748730591,0.0414246961805555,40.60778392650463,78.4296012972608,34.5186562538147,6.947510004043579
2185030,False,1799,1799,0,True,False,False,7,1,13,3,13,430,113,4,1920.0,1080.0,117.87379955150462,56.991702609886936,1617.475342604867,0.0851525125385802,38.56696252893519,93.305470076196,36.435842514038086,6.73315954208374
2827680,False,999,999,0,True,False,False,9,2,5,4,8,400,404,4,1920.0,1080.0,117.46906684027778,38.20764591190726,634.2750295901061,0.0637595244984567,100.00539327739196,104.92403477044752,59.3054666519165,6.345989108085632
3136330,False,699,699,0,True,False,False,10,3,4,3,16,326,329,4,1600.0,900.0,107.19449987340856,41.01204448029433,263.6928054973797,0.0541259765625,26.29502483603395,119.82734444323884,57.48246955871582,6.542911171913147
3362960,False,1699,1699,0,True,True,True,11,1,12,3,12,403,408,4,1920.0,1080.0,156.9112754388503,48.09130592091813,245.5449487652164,0.0350444878472222,62.22675684799383,97.27572591145832,60.0552978515625,7.166773796081543
4030290,False,1299,1299,0,True,False,False,6,1,8,4,2,506,483,4,1920.0,1080.0,128.70819685570987,59.51778181501926,1173.9851325882605,0.0739619502314814,64.85223210841049,113.85969039351852,77.07943153381348,7.562627911567688
2817390,False,1499,1499,0,True,False,False,10,1,3,3,3,368,444,4,1920.0,1080.0,85.13613582658178,72.8818292106733,505.4257120649772,0.0553680796682098,70.11634500385803,63.47089156539352,35.961143493652344,6.709119081497192
3124550,False,999,579,42,True,False,False,9,2,11,3,17,417,458,4,1920.0,1080.0,116.07318588445216,59.30535688422569,1233.3698089043637,0.0774756462191358,32.94172634548611,90.49486207561728,57.11210918426514,7.634172320365906
2428800,False,1299,909,30,True,True,False,17,1,9,3,6,355,113,4,1920.0,1080.0,199.99229636863424,47.42190263657982,394.1739559876476,0.0315031828703703,67.06407033661266,68.37297574266975,58.16567134857178,5.834695100784302
2811530,False,1299,1299,0,True,False,False,21,2,3,3,13,464,469,4,1920.0,1080.0,134.5953833912037,54.61476850681225,471.29926407157393,0.0429289641203703,35.55525571469907,101.76638237847224,45.76828098297119,7.229068636894226
3651310,False,699,699,0,True,False,False,7,2,10,3,10,443,113,4,1920.0,1080.0,178.88891613618827,32.73790908244105,805.8326695786769,0.067724609375,32.474380907600306,82.45602442611883,43.7972583770752,4.403426349163055
3327470,False,999,999,0,True,False,False,8,1,4,3,13,432,113,4,1920.0,1080.0,90.80447048611111,62.293250335576026,449.6510795131417,0.0275647424768518,76.13357675057871,52.682608386381176,32.657795906066895,6.935532450675964
2988300,False,599,599,0,True,False,False,7,2,7,3,6,389,113,4,1918.0,1079.75,121.11637121179793,56.65142823302354,358.1621021644316,0.0410014503108824,38.47596179866868,102.83885836840834,48.9227409362793,6.82807719707489
3521410,False,999,999,0,True,True,True,13,1,10,4,11,449,113,4,1920.0,1080.0,164.11407238618824,59.95781990265377,997.5484245134592,0.0680536265432098,33.422483482831794,128.39633270640434,75.3226089477539,6.288988351821899
3355800,False,1499,1499,0,True,False,False,16,1,5,5,15,449,453,4,1920.0,1080.0,105.9021487991898,59.03892189364375,1243.907786136975,0.0696015383873456,72.80330873842593,116.41698989679784,58.51301193237305,7.189338564872742
3058360,False,1399,1399,0,True,False,False,10,2,7,5,12,520,450,4,1920.0,1080.0,89.44148148148147,65.38074905393836,455.9299662188802,0.0541701630015432,24.19919463734568,150.55607831790124,49.338396072387695,7.434136152267456
3140120,False,999,999,0,True,False,False,5,2,11,2,9,373,113,4,1920.0,1080.0,177.5480655623071,48.872641975885145,279.35873838385544,0.0267124807098765,112.01681459780092,54.48717616705247,37.982165813446045,3.535724848508835
2402630,False,999,789,21,True,False,False,15,2,6,6,11,397,403,4,1920.0,1080.0,82.34041449652779,30.5339497486745,220.88797643868045,0.0257755835262345,18.305062813464502,184.853459683642,49.606926918029785,6.740735769271851
