appid,release_coming_soon,price_initial,price_final,price_discount_pct,platform_windows,platform_mac,platform_linux,screenshots_count,movies_count,cat_n,gen_n,lang_n,pc_min_len,pc_rec_len,t0_date,d7_total,d7_pos,d7_neg,d7_pos_ratio,d14_total,d14_pos,d14_neg,d14_pos_ratio,d30_total,d30_pos,d30_neg,d30_pos_ratio
3404470,False,599,599,0,True,True,False,6,3,4,3,13,377,0,2025-05-14,545,506,39,0.9284403669724772,771,721,50,0.9351491569390402,955.0,896.0,59.0,0.938219895287958
3069120,False,1299,1299,0,True,True,False,5,1,3,1,2,444,113,2025-04-19,713,686,27,0.9621318373071528,1151,1108,43,0.9626411815812336,1544.0,1488.0,56.0,0.9637305699481864
3558400,False,999,799,20,True,False,False,8,5,12,4,30,534,537,2025-10-09,218,165,53,0.7568807339449541,322,232,90,0.7204968944099379,430.0,311.0,119.0,0.7232558139534884
2212670,False,999,999,0,True,False,False,12,1,11,3,2,436,440,2025-08-07,212,196,16,0.9245283018867924,301,279,22,0.9269102990033222,386.0,363.0,23.0,0.9404145077720208
3151380,False,1299,974,25,True,False,False,14,1,2,3,9,461,468,2025-05-27,147,137,10,0.9319727891156464,216,202,14,0.9351851851851852,280.0,262.0,18.0,0.9357142857142856
2240080,False,599,599,0,True,True,False,7,1,4,5,23,384,395,2025-03-26,1371,1316,55,0.9598832968636032,1738,1664,74,0.957422324510932,2090.0,2004.0,86.0,0.9588516746411484
2286780,False,1999,1999,0,True,False,False,10,2,6,4,5,321,0,2024-05-16,166,148,18,0.891566265060241,207,178,29,0.8599033816425121,240.0,210.0,30.0,0.875
2843190,False,1499,1499,0,True,True,False,19,3,5,2,14,420,427,2025-06-07,319,301,18,0.9435736677115988,466,434,32,0.9313304721030042,602.0,562.0,40.0,0.9335548172757476
1602000,False,1999,1999,0,True,False,False,11,4,11,4,9,579,578,2025-05-20,161,151,10,0.937888198757764,264,245,19,0.928030303030303,341.0,321.0,20.0,0.9413489736070382
2957700,False,1699,1699,0,True,False,False,18,2,5,4,4,456,436,2024-11-29,314,302,12,0.961783439490446,385,358,27,0.9298701298701298,433.0,401.0,32.0,0.9260969976905312
2678830,False,1199,1199,0,True,False,False,7,6,5,4,2,386,0,2026-01-20,364,313,51,0.8598901098901099,584,517,67,0.8852739726027398,793.0,700.0,93.0,0.8827238335435057
3180150,False,1399,1399,0,True,False,False,12,1,10,4,20,396,443,2025-11-03,432,393,39,0.9097222222222222,803,739,64,0.9202988792029888,1430.0,1332.0,98.0,0.9314685314685316
1778840,False,2999,1799,40,True,False,False,13,5,6,3,9,598,617,2025-05-08,185,161,24,0.8702702702702703,246,205,41,0.8333333333333334,331.0,278.0,53.0,0.8398791540785498
2368930,False,999,649,35,True,True,False,8,3,13,4,15,435,440,2025-07-10,247,241,6,0.9757085020242916,346,336,10,0.9710982658959536,442.0,428.0,14.0,0.9683257918552036
1957760,False,699,489,30,True,False,False,16,1,3,3,9,300,96,2025-05-29,119,107,12,0.8991596638655462,158,140,18,0.8860759493670886,193.0,172.0,21.0,0.8911917098445595
2744010,False,1199,599,50,True,False,False,14,1,3,3,13,348,0,2025-03-21,195,188,7,0.964102564102564,270,255,15,0.9444444444444444,317.0,299.0,18.0,0.943217665615142
2714620,False,999,999,0,True,True,True,9,2,16,3,4,434,113,2025-05-22,559,555,4,0.992844364937388,899,892,7,0.9922135706340378,1147.0,1136.0,11.0,0.990409764603313
4015530,False,299,299,0,True,False,False,8,1,6,3,15,587,591,2025-09-27,3,3,0,1.0,6,6,0,1.0,13.0,11.0,2.0,0.8461538461538461
2665460,False,1999,1999,0,True,True,True,22,1,12,4,1,414,437,2025-05-22,183,153,30,0.8360655737704918,243,198,45,0.8148148148148148,293.0,243.0,50.0,0.8293515358361775
1940200,False,1499,1499,0,True,False,False,10,3,5,2,5,442,442,2024-03-25,90,68,22,0.7555555555555555,100,74,26,0.74,118.0,87.0,31.0,0.7372881355932204
2194730,False,1299,870,33,True,False,False,12,12,7,3,26,468,472,2024-03-10,120,96,24,0.8,135,108,27,0.8,152.0,118.0,34.0,0.7763157894736842
1779030,False,1799,1799,0,True,True,True,6,1,3,3,1,370,113,2025-04-01,31,31,0,1.0,41,41,0,1.0,52.0,51.0,1.0,0.9807692307692308
3496000,False,999,999,0,True,True,True,18,1,14,4,14,449,113,2025-06-23,328,277,51,0.8445121951219512,519,444,75,0.8554913294797688,688.0,588.0,100.0,0.8546511627906976
2712380,False,999,999,0,True,False,True,18,1,12,4,4,439,442,2025-11-03,314,264,50,0.8407643312101911,462,392,70,0.8484848484848485,649.0,569.0,80.0,0.8767334360554699
1917850,False,1999,1999,0,True,False,False,9,4,5,4,11,593,332,2025-04-30,88,47,41,0.5340909090909091,120,65,55,0.5416666666666666,131.0,73.0,58.0,0.5572519083969466
1346840,False,1499,1499,0,True,True,False,17,1,5,1,9,381,113,2025-09-11,195,168,27,0.8615384615384616,269,236,33,0.8773234200743495,333.0,294.0,39.0,0.8828828828828829
3769130,False,499,324,35,True,False,False,13,1,7,2,11,307,0,2025-07-30,1596,1489,107,0.9329573934837092,2433,2283,150,0.938347718865598,3265.0,3064.0,201.0,0.93843797856049
2226430,False,1599,1599,0,True,True,False,12,4,9,4,3,216,175,2025-05-29,221,166,55,0.751131221719457,273,207,66,0.7582417582417582,317.0,240.0,77.0,0.7570977917981072
2923390,False,1299,1299,0,True,False,False,11,1,6,3,17,457,504,2024-06-17,271,254,17,0.9372693726937268,412,384,28,0.9320388349514565,556.0,522.0,34.0,0.9388489208633094
3266090,False,1399,1105,21,True,False,False,15,4,8,4,18,485,504,2025-11-20,123,96,27,0.7804878048780488,170,132,38,0.7764705882352941,204.0,162.0,42.0,0.7941176470588235
3618390,False,699,489,30,True,False,True,7,2,11,4,11,248,321,2026-01-11,1024,717,307,0.7001953125,1322,940,382,0.7110438729198184,1541.0,1109.0,432.0,0.7196625567813109
3097300,False,799,799,0,True,False,False,10,2,14,3,1,376,379,2026-02-07,796,792,4,0.9949748743718592,1759,1754,5,0.9971574758385446,,,,
2342690,False,1299,1299,0,True,False,False,21,3,3,7,2,388,0,2025-03-11,84,67,17,0.7976190476190477,102,78,24,0.7647058823529411,117.0,89.0,28.0,0.7606837606837606
3363270,False,799,799,0,True,False,False,11,6,4,2,11,339,113,2025-08-08,281,268,13,0.9537366548042704,444,417,27,0.9391891891891893,590.0,553.0,37.0,0.9372881355932204
3218530,False,1799,1079,40,True,True,False,7,3,5,5,4,440,113,2025-05-05,120,106,14,0.8833333333333333,163,145,18,0.8895705521472392,211.0,190.0,21.0,0.9004739336492891
2891020,False,999,999,0,True,False,False,6,2,5,3,13,442,449,2025-10-13,248,238,10,0.9596774193548387,331,320,11,0.9667673716012084,442.0,428.0,14.0,0.9683257918552036
3511030,False,499,499,0,True,False,False,9,1,7,2,16,427,0,2025-03-31,128,128,0,1.0,282,281,1,0.99645390070922,353.0,352.0,1.0,0.9971671388101984
3609750,False,799,799,0,True,True,False,6,3,7,3,13,324,113,2025-11-20,346,331,15,0.9566473988439308,640,618,22,0.965625,794.0,771.0,23.0,0.9710327455919396
3177890,False,1299,1299,0,True,False,False,7,1,9,3,2,317,0,2025-09-16,554,505,49,0.9115523465703972,744,677,67,0.9099462365591398,896.0,816.0,80.0,0.9107142857142856
3981100,False,599,599,0,True,False,False,6,1,12,3,13,338,0,2025-10-30,179,174,5,0.9720670391061452,533,520,13,0.975609756097561,1395.0,1370.0,25.0,0.982078853046595
3064030,False,585,585,0,True,False,False,13,1,3,2,8,377,0,2025-08-07,144,135,9,0.9375,200,191,9,0.955,247.0,230.0,17.0,0.931174089068826
3399960,False,599,599,0,True,False,False,6,1,4,3,10,421,432,2025-06-17,194,175,19,0.9020618556701032,323,298,25,0.9226006191950464,460.0,435.0,25.0,0.9456521739130436
3606830,False,1299,1299,0,True,False,False,10,1,4,3,4,172,167,2025-08-07,139,121,18,0.8705035971223022,164,139,25,0.8475609756097561,179.0,146.0,33.0,0.8156424581005587
2390230,False,1299,1299,0,True,True,False,10,1,6,4,12,277,291,2025-03-31,166,165,1,0.993975903614458,243,237,6,0.9753086419753086,310.0,302.0,8.0,0.9741935483870968
2096030,False,1599,959,40,True,False,False,23,11,10,3,12,449,407,2024-06-19,55,41,14,0.7454545454545455,70,55,15,0.7857142857142857,108.0,91.0,17.0,0.8425925925925926
3370870,False,799,799,0,True,False,False,8,1,12,3,1,432,113,2026-01-29,703,698,5,0.992887624466572,2002,1976,26,0.987012987012987,3277.0,3237.0,40.0,0.9877937137625876
3003460,False,799,799,0,True,True,False,17,1,17,3,4,455,343,2025-08-08,218,210,8,0.963302752293578,321,305,16,0.9501557632398754,410.0,388.0,22.0,0.946341463414634
1793330,False,1999,1999,0,True,False,False,11,1,10,3,9,380,267,2025-11-06,87,73,14,0.8390804597701149,111,94,17,0.8468468468468469,134.0,117.0,17.0,0.8731343283582089
3036010,False,999,999,0,True,False,False,10,2,6,4,13,483,0,2025-05-23,388,311,77,0.8015463917525774,490,378,112,0.7714285714285715,540.0,413.0,127.0,0.7648148148148148
3422270,False,1999,1999,0,True,False,False,14,1,2,4,12,381,385,2025-10-27,42,40,2,0.9523809523809524,47,45,2,0.9574468085106383,62.0,57.0,5.0,0.9193548387096774
2871440,False,1499,1499,0,True,True,False,11,4,13,2,5,456,467,2025-06-07,448,445,3,0.9933035714285714,650,645,5,0.9923076923076924,807.0,798.0,9.0,0.9888475836431226
4067130,False,399,399,0,True,False,False,6,1,6,5,10,299,306,2025-12-11,24,22,2,0.9166666666666666,29,26,3,0.896551724137931,111.0,90.0,21.0,0.8108108108108109
3694480,False,699,699,0,True,True,True,8,1,10,2,19,266,98,2025-12-15,826,746,80,0.9031476997578692,1357,1240,117,0.9137803979366248,1814.0,1647.0,167.0,0.9079382579933848
2760790,False,699,699,0,True,False,False,7,3,9,3,7,245,0,2025-08-01,283,209,74,0.7385159010600707,358,264,94,0.7374301675977654,404.0,302.0,102.0,0.7475247524752475
2915380,False,1799,1799,0,True,False,False,6,2,9,3,6,428,0,2025-08-22,343,264,79,0.7696793002915452,426,325,101,0.7629107981220657,487.0,370.0,117.0,0.7597535934291582
2654540,False,599,599,0,True,False,False,12,1,4,6,3,373,0,2024-07-26,184,143,41,0.7771739130434783,228,180,48,0.7894736842105263,256.0,198.0,58.0,0.7734375
3613270,False,1799,1799,0,True,False,False,12,2,10,3,17,484,492,2025-11-06,110,89,21,0.8090909090909091,167,135,32,0.8083832335329342,215.0,180.0,35.0,0.8372093023255814
2718240,False,899,899,0,True,False,False,10,2,3,3,11,382,113,2025-03-31,79,75,4,0.9493670886075948,117,111,6,0.9487179487179488,148.0,140.0,8.0,0.945945945945946
3208560,False,599,599,0,True,False,False,7,1,10,4,11,295,0,2025-09-08,276,257,19,0.9311594202898552,443,412,31,0.9300225733634312,534.0,491.0,43.0,0.9194756554307116
3659410,False,799,799,0,True,False,False,7,3,9,4,10,316,320,2025-11-11,306,263,43,0.8594771241830066,418,336,82,0.8038277511961722,620.0,498.0,122.0,0.8032258064516129
3204020,False,1999,1999,0,True,False,False,7,2,5,2,2,366,113,2025-06-04,94,94,0,1.0,120,120,0,1.0,155.0,153.0,2.0,0.9870967741935484
2185030,False,1799,1799,0,True,False,False,7,1,13,3,13,430,113,2025-01-15,71,55,16,0.7746478873239436,98,82,16,0.8367346938775511,111.0,92.0,19.0,0.8288288288288288
2827680,False,999,999,0,True,False,False,9,2,5,4,8,400,404,2025-07-11,127,91,36,0.7165354330708661,158,108,50,0.6835443037974683,187.0,141.0,46.0,0.7540106951871658
3136330,False,699,699,0,True,False,False,10,3,4,3,16,326,329,2025-07-31,85,81,4,0.9529411764705882,105,99,6,0.9428571428571428,129.0,121.0,8.0,0.937984496124031
3362960,False,1699,1699,0,True,True,True,11,1,12,3,12,403,408,2025-09-24,59,55,4,0.9322033898305084,75,70,5,0.9333333333333332,94.0,86.0,8.0,0.9148936170212766
4030290,False,1299,1299,0,True,False,False,6,1,8,4,2,506,483,2025-12-10,506,463,43,0.9150197628458498,545,495,50,0.908256880733945,593.0,533.0,60.0,0.8988195615514334
2817390,False,1499,1499,0,True,False,False,10,1,3,3,3,368,444,2025-04-26,40,32,8,0.8,57,45,12,0.7894736842105263,62.0,49.0,13.0,0.7903225806451613
3124550,False,999,579,42,True,False,False,9,2,11,3,17,417,458,2025-05-02,67,59,8,0.8805970149253731,96,85,11,0.8854166666666666,136.0,124.0,12.0,0.9117647058823528
2428800,False,1299,909,30,True,True,False,17,1,9,3,6,355,113,2026-01-12,51,50,1,0.9803921568627452,63,61,2,0.9682539682539684,79.0,77.0,2.0,0.9746835443037974
2811530,False,1299,1299,0,True,False,False,21,2,3,3,13,464,469,2025-09-09,43,30,13,0.6976744186046512,58,38,20,0.6551724137931034,71.0,48.0,23.0,0.676056338028169
3651310,False,699,699,0,True,False,False,7,2,10,3,10,443,113,2025-11-13,90,88,2,0.9777777777777776,136,134,2,0.9852941176470588,192.0,189.0,3.0,0.984375
3327470,False,999,999,0,True,False,False,8,1,4,3,13,432,113,2025-03-27,59,33,26,0.559322033898305,77,37,40,0.4805194805194805,101.0,48.0,53.0,0.4752475247524752
2988300,False,599,599,0,True,False,False,7,2,7,3,6,389,113,2025-05-22,164,152,12,0.926829268292683,255,235,20,0.9215686274509804,376.0,351.0,25.0,0.9335106382978724
3521410,False,999,999,0,True,True,True,13,1,10,4,11,449,113,2025-11-01,244,190,54,0.7786885245901639,326,268,58,0.8220858895705522,476.0,414.0,62.0,0.8697478991596639
3355800,False,1499,1499,0,True,False,False,16,1,5,5,15,449,453,2025-06-06,62,54,8,0.8709677419354839,91,79,12,0.8681318681318682,138.0,114.0,24.0,0.8260869565217391
3058360,False,1399,1399,0,True,False,False,10,2,7,5,12,520,450,2025-08-25,97,91,6,0.9381443298969072,113,105,8,0.9292035398230089,130.0,122.0,8.0,0.9384615384615383
3140120,False,999,999,0,True,False,False,5,2,11,2,9,373,113,2025-06-23,152,131,21,0.8618421052631579,190,161,29,0.8473684210526315,219.0,189.0,30.0,0.863013698630137
2402630,False,999,789,21,True,False,False,15,2,6,6,11,397,403,2025-11-12,26,22,4,0.8461538461538461,35,31,4,0.8857142857142857,43.0,39.0,4.0,0.9069767441860463
