tag,game_count,coverage_pct,excluded,exclude_reason
Shop Keeper,7,0.07,True,cov_low (0.1%)
Birds,7,0.07,True,cov_low (0.1%)
BMX,7,0.07,True,cov_low (0.1%)
Wrestling,7,0.07,True,cov_low (0.1%)
Skiing,7,0.07,True,cov_low (0.1%)
Warhammer 40K,6,0.06,True,cov_low (0.1%)
Voice Control,6,0.06,True,cov_low (0.1%)
Photo Editing,6,0.06,True,cov_low (0.1%)
Gaming,6,0.06,True,cov_low (0.1%)
Baseball,5,0.05,True,cov_low (0.0%)
Mahjong,5,0.05,True,cov_low (0.0%)
Software Training,4,0.04,True,cov_low (0.0%)
Coding,4,0.04,True,cov_low (0.0%)
Rock Music,4,0.04,True,cov_low (0.0%)
Cycling,4,0.04,True,cov_low (0.0%)
Snooker,4,0.04,True,cov_low (0.0%)
Instrumental Music,4,0.04,True,cov_low (0.0%)
Steam Machine,4,0.04,True,cov_low (0.0%)
Hardware,3,0.03,True,cov_low (0.0%)
Extraction Shooter,3,0.03,True,cov_low (0.0%)
Hobby Sim,3,0.03,True,cov_low (0.0%)
Bowling,3,0.03,True,cov_low (0.0%)
360 Video,3,0.03,True,cov_low (0.0%)
Video Production,3,0.03,True,cov_low (0.0%)
Web Publishing,3,0.03,True,cov_low (0.0%)
8-bit Music,3,0.03,True,cov_low (0.0%)
Hockey,3,0.03,True,cov_low (0.0%)
Masterpiece,2,0.02,True,cov_low (0.0%) | sentiment_leakage
Documentary,2,0.02,True,cov_low (0.0%)
Cricket,2,0.02,True,cov_low (0.0%)
Volleyball,2,0.02,True,cov_low (0.0%)
Elf,2,0.02,True,cov_low (0.0%)
Motocross,1,0.01,True,cov_low (0.0%)
VR Only,1,0.01,True,cov_low (0.0%)
ATV,1,0.01,True,cov_low (0.0%)
Feature Film,1,0.01,True,cov_low (0.0%)
Benchmark,1,0.01,True,cov_low (0.0%)
Reboot,1,0.01,True,cov_low (0.0%)
Musou,1,0.01,True,cov_low (0.0%)
Rugby,1,0.01,True,cov_low (0.0%)
